Time [s],PIN_TASK_A,PIN_TASK_B
0.000000000,0,0
2.427981280,1,0
2.428257760,1,1
4.788522720,0,1
4.788523680,0,0
4.788525440,0,1
4.788526240,0,0
4.788528000,0,1
4.788528800,0,0
4.788530560,0,1
4.788531360,0,0
4.788531840,1,0
4.788532960,1,1
4.788533760,1,0
4.788534240,0,0
4.788535520,0,1
4.788536320,0,0
4.788537920,0,1
4.788538720,0,0
4.788540480,0,1
4.788541280,0,0
4.788543040,0,1
4.788543840,0,0
4.788545440,0,1
4.788546240,0,0
4.788546720,1,0
4.788548800,0,0
4.788549440,0,1
4.788550240,0,0
4.788550720,1,0
4.788552000,1,1
4.788552800,1,0
4.788554400,1,1
4.788555200,1,0
4.788555680,0,0
4.788556960,0,1
4.788557760,0,0
4.788558240,1,0
4.788559520,1,1
4.788560160,1,0
4.788560640,0,0
4.788561920,0,1
4.788562720,0,0
4.788564480,0,1
4.788565280,0,0
4.788566880,0,1
4.788567680,0,0
4.788569440,0,1
4.788570240,0,0
4.788570720,1,0
4.788574400,0,0
4.788575040,0,1
4.788575680,0,0
4.788576320,1,0
4.788577440,1,1
4.788578240,1,0
4.788580000,1,1
4.788580800,1,0
4.788581120,0,0
4.788582400,0,1
4.788583200,0,0
4.788584960,0,1
4.788585760,0,0
4.788586240,1,0
4.788587520,1,1
4.788588320,1,0
4.788588640,0,0
4.788589920,0,1
4.788590720,0,0
4.788591200,1,0
4.788592480,1,1
4.788593280,1,0
4.788593760,0,0
4.788595040,0,1
4.788595680,0,0
4.788596320,1,0
4.788599200,0,0
4.788599840,0,1
4.788600640,0,0
4.788601120,1,0
4.788602400,1,1
4.788603040,1,0
4.788604800,1,1
4.788605600,1,0
4.788606080,0,0
4.788607360,0,1
4.788608160,0,0
4.788608640,1,0
4.788609760,1,1
4.788610560,1,0
4.788612320,1,1
4.788613120,1,0
4.788613600,0,0
4.788614880,0,1
4.788615680,0,0
4.788617280,0,1
4.788618080,0,0
4.788619840,0,1
4.788620640,0,0
4.788621120,1,0
4.788624160,0,0
4.788624640,0,1
4.788625440,0,0
4.788625920,1,0
4.788627200,1,1
4.788628000,1,0
4.788629760,1,1
4.788630400,1,0
4.788630880,0,0
